,City (rus),City (eng),Tariffs (rus),Tariffs (eng),website
745,Саракташ,Saraktash,Эконом,econom,https://taxi.yandex.ru/saraktash/tariff
746,Саранск,Saransk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/saransk/tariff
747,Сарапул,Sarapul,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/sarapul/tariff
748,Саратов,Saratov,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, child_tariff, express, cargo, courier",https://taxi.yandex.ru/saratov/tariff
749,Саратовская область,Saratovskaya oblast,Эконом,econom,https://taxi.yandex.ru/saratov_region/tariff
750,Саров,Sarov,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/sarov/tariff
751,Сасово,Sasovo,Эконом,econom,https://taxi.yandex.ru/sasovo/tariff
752,Свердловская область,Sverdlovskaya oblast,Эконом,econom,https://taxi.yandex.ru/sverdlovsk_region/tariff
753,Сафоново,Safonovo,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/safonovo/tariff
754,Саяногорск,Sayanogorsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/sayanogorsk/tariff
755,Свердловская область,Sverdlovskaya oblast,Эконом,econom,https://taxi.yandex.ru/sverdlovsk_region/tariff
756,Свердловский,Sverdlovskiy,"Эконом, Минивэн, Детский, Грузовой, Доставка, Курьер","econom, minivan, child_tariff, cargo, express, courier",https://taxi.yandex.ru/sverdlovsky/tariff
757,Светлогорск,Svetlogorsk,Эконом,econom,https://taxi.yandex.ru/svetlogorsk/tariff
758,Светогорск,Svetogorsk,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/svetogorsk/tariff
759,Светогорск,Svetogorsk,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/svetogorsk/tariff
760,Свободный,Svobodny,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/svobodnyy/tariff
761,Севастополь,Sevastopol,-,-,Not supported
762,Северобайкальск,Severobaykalsk,Эконом,econom,https://taxi.yandex.ru/severobaykalsk/tariff
763,Северодвинск,Severodvinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/severodvinsk/tariff
764,Североморск,Severomorsk,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/severomorsk/tariff
765,Североуральск,Severouralsk,Эконом,econom,https://taxi.yandex.ru/severouralsk/tariff
766,Северск,Seversk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/seversk/tariff
767,Северская,Severskaya,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/severskaya/tariff
768,Сегежа,Segezha,Эконом,econom,https://taxi.yandex.ru/segezha/tariff
769,Селижарово,Selizharovo,Эконом,econom,https://taxi.yandex.ru/selizharovo/tariff
770,Сельцо,Seltso,Эконом,econom,https://taxi.yandex.ru/selco/tariff
771,Селятино,Selyatino,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, cargo, express, courier",https://taxi.yandex.ru/selyatino/tariff
772,Семёнов,Semyonov,Эконом,econom,https://taxi.yandex.ru/semenov/tariff
773,Семибратово,Semibratovo,Эконом,econom,https://taxi.yandex.ru/semibratovo/tariff
774,Семикаракорск,Semikarakorsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/semikarakorsk/tariff
775,Сенгилей,Sengiley,Эконом,econom,https://taxi.yandex.ru/sengiley/tariff
776,Сенной,Sennoy,Эконом,econom,https://taxi.yandex.ru/sennoi/tariff
777,Сергиев Посад,Sergiyev Posad,"Эконом, Комфорт, Комфорт+, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, cargo, express, courier",https://taxi.yandex.ru/sergievposad/tariff
778,Сердобск,Serdobsk,Эконом,econom,https://taxi.yandex.ru/serdobsk/tariff
779,Серов,Serov,"Эконом, Курьер","econom, courier",https://taxi.yandex.ru/serov/tariff
780,Серпухов,Serpukhov,"Эконом, Комфорт, Комфорт+, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, cargo, express, courier",https://taxi.yandex.ru/serpukhov/tariff
781,Сертолово,Sertolovo,"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/sertolovo/tariff
782,Серышево,Seryshevo,Эконом,econom,https://taxi.yandex.ru/seryshevo/tariff
783,Сестрорецк,Sestroretsk,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, cargo, express, courier",https://taxi.yandex.ru/sestroretsk/tariff
784,Сибай,Sibay,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/sibaj/tariff
785,Симферополь,Simferopol,-,-,Not supported
786,Сковородино,Skovorodino,Эконом,econom,https://taxi.yandex.ru/skovorodino/tariff
787,Скопин,Skopin,Эконом,econom,https://taxi.yandex.ru/skopin/tariff
788,Славгород,Slavgorod,Эконом,econom,https://taxi.yandex.ru/slavgorod/tariff
789,Славянск-на-Кубани,Slavyansk-na-Kubani,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/slavyansk-na-kubani/tariff
790,Сланцы,Slantsy,Эконом,econom,https://taxi.yandex.ru/slantsy/tariff
791,Слободской,Slobodskoy,Эконом,econom,https://taxi.yandex.ru/slobodskoy/tariff
792,Слюдянка,Slyudyanka,Эконом,econom,https://taxi.yandex.ru/sljudyanka/tariff
793,Смоленск,Smolensk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/smolensk/tariff
794,Смоленская область,Smolenskaya oblast,Эконом,econom,https://taxi.yandex.ru/smolensk_region/tariff
795,Сокол,Sokol,Эконом,econom,https://taxi.yandex.ru/sokol_vologda/tariff
796,Советск,Sovetsk,Эконом,econom,https://taxi.yandex.ru/sovetsk/tariff
797,Советский,Sovetsky,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/sovetsky/tariff
798,Сокол,Sokol,Эконом,econom,https://taxi.yandex.ru/sokol_vologda/tariff
799,Соликамск,Solikamsk,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/solikamsk/tariff
800,Солнечногорск,Solnechnogorsk,"Эконом, Комфорт, Комфорт+, Доставка, Детский, Грузовой, Курьер","econom, business, comfortplus, express, child_tariff, cargo, courier",https://taxi.yandex.ru/solnechnogorsk/tariff
801,Солнечнодольск,Solnecznodolsk,Эконом,econom,https://taxi.yandex.ru/solnechnodolsk/tariff
802,Солнечный,Solnecznyy,Эконом,econom,https://taxi.yandex.ru/solnechny/tariff
803,Соль-Илецк,Sol-Iletsk,Эконом,econom,https://taxi.yandex.ru/sol-iletsk/tariff
804,Сорочинск,Sorochinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/sorochinsk/tariff
805,Сорск,Sorsk,Эконом,econom,https://taxi.yandex.ru/sorsk/tariff
806,Сортавала,Sortavala,Эконом,econom,https://taxi.yandex.ru/sortavala/tariff
807,Сосново,Sosnovo,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/sosnovo/tariff
808,Сосновый Бор ,Sosnovyy Bor ,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/sosnoviy_bor/tariff
809,Сосногорск,Sosnogorsk,Эконом,econom,https://taxi.yandex.ru/sosnogorsk/tariff
810,Ставрополь,Stavropol,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/stavropol/tariff
811,Сочи,Sochi,"Эконом, Комфорт, Комфорт+, Business, Premier, Минивэн, Cruise, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, ultimate, minivan, premium_van, child_tariff, express, cargo, courier",https://taxi.yandex.ru/sochi/tariff
812,Спасск-Дальний,Spassk-Dalny,Эконом,econom,https://taxi.yandex.ru/spassk-dalniy/tariff
813,Ставрополь,Stavropol,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/stavropol/tariff
814,Ставропольский Край,Stavropolskiy Kray,Эконом,econom,https://taxi.yandex.ru/stavropol_region/tariff
815,Становое,Stanovoe,Эконом,econom,https://taxi.yandex.ru/stanovoe/tariff
816,Старая Купавна,Staraya Kupavna,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, cargo, express, courier",https://taxi.yandex.ru/staraja_kupavna/tariff
817,Старая Полтавка,Staraya Poltavka,Эконом,econom,https://taxi.yandex.ru/staraya_poltavka/tariff
818,Старая Русса ,Staraya Russa ,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/staraya_russa/tariff
819,Старица,Staritsa,Эконом,econom,https://taxi.yandex.ru/staritsa/tariff
820,Староминская,Starominskaya,Эконом,econom,https://taxi.yandex.ru/starominskaya/tariff
821,Старотитаровская,Starotitarovskaya,Эконом,econom,https://taxi.yandex.ru/starotitarovskaya/tariff
822,Старый Оскол,Stary Oskol,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/stariyoskol/tariff
823,Степное,Stepnoe,Эконом,econom,https://taxi.yandex.ru/stepnoe/tariff
824,Стерлитамак,Sterlitamak,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/sterlitamak/tariff
825,Стрежевой,Strezhevoy,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/strejevoi/tariff
826,Строитель,Stroitel,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/stroitel/tariff
827,Ступино,Stupino,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, child_tariff, express, cargo, courier",https://taxi.yandex.ru/stupino/tariff
828,Суджа,Sudzha,Эконом,econom,https://taxi.yandex.ru/sudzha/tariff
829,Суджа,Sudzha,Эконом,econom,https://taxi.yandex.ru/sudzha/tariff
830,Суздаль,Suzdal,Эконом,econom,https://taxi.yandex.ru/suzdal/tariff
831,Сузун,Suzun,Эконом,econom,https://taxi.yandex.ru/suzun/tariff
832,Сунжа,Sunzha,Эконом,econom,https://taxi.yandex.ru/sunzha/tariff
833,Сухой Лог,Sukhoy Log,Эконом,econom,https://taxi.yandex.ru/sukhoi_log/tariff
834,Суровикино,Surovikino,Эконом,econom,https://taxi.yandex.ru/surovikino/tariff
835,Сурхахи,Surhahi,Эконом,econom,https://taxi.yandex.ru/surhahi/tariff
836,Сухой Лог,Sukhoy Log,Эконом,econom,https://taxi.yandex.ru/sukhoi_log/tariff
837,Сызрань,Syzran,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/syzran/tariff
838,Сыктывкар,Syktyvkar,"Эконом, Комфорт, Детский, Курьер, Доставка","econom, business, child_tariff, courier, express",https://taxi.yandex.ru/syktyvkar/tariff
839,Сысерть,Sysert,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/sysert/tariff
840,Тавда,Tavda,Эконом,econom,https://taxi.yandex.ru/tavda/tariff
841,Таганрог,Taganrog,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/taganrog/tariff
842,Тайга,Tayga,Эконом,econom,https://taxi.yandex.ru/tayga/tariff
843,Тайшет,Tayshet,Эконом,econom,https://taxi.yandex.ru/tayshet/tariff
844,Талнах,Talnah,Эконом,econom,https://taxi.yandex.ru/talnakh/tariff
845,Тальменка,Talmenka,Эконом,econom,https://taxi.yandex.ru/talmenka/tariff
846,Тамань,Taman,Эконом,econom,https://taxi.yandex.ru/taman/tariff
847,Тамбов,Tambov,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/tambov/tariff
848,Тамбовская область,Tambovskaya oblast,Эконом,econom,https://taxi.yandex.ru/tambov_region/tariff
849,Тара,Tara,Эконом,econom,https://taxi.yandex.ru/tara/tariff
850,Тарко-Сале,Tarko-Sale,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/tarko_sale/tariff
851,Татарск,Tatarsk,Эконом,econom,https://taxi.yandex.ru/tatarsk/tariff
852,Тацинская,Tacinskaya,Эконом,econom,https://taxi.yandex.ru/tatsinskaya/tariff
853,Таштагол,Tashtagol,Эконом,econom,https://taxi.yandex.ru/tashtagol/tariff
854,Тверская область,Tverskaya oblast,Эконом,econom,https://taxi.yandex.ru/tver_region/tariff
855,Тверь,Tver,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/tver/tariff
856,Теберда,Teberda,Эконом,econom,https://taxi.yandex.ru/teberda/tariff
857,Тейково,Teykovo,Эконом,econom,https://taxi.yandex.ru/teykovo/tariff
858,Темрюк,Temryuk,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/temryuk/tariff
859,Тербуны,Terbuny,Эконом,econom,https://taxi.yandex.ru/terbuny/tariff
860,Терек,Terek,Эконом,econom,https://taxi.yandex.ru/terek/tariff
861,Тимашевск,Timashevsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/timashevsk/tariff
862,Тимашевский городской округ,Timashevskiy gorodskoy okrug,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/timashevsk_district/tariff
863,Тихвин,Tikhvin,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/tikhvin/tariff
864,Тихорецк,Tikhoretsk,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/tixoretsk/tariff
865,Тобольск,Tobolsk,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/tobolsk/tariff
866,Товарково,Tovarkovo,Эконом,econom,https://taxi.yandex.ru/tovarkovo/tariff
867,Тольятти,Tolyatti,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/togliatti/tariff
868,Токсово,Toksovo,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/toksovo/tariff
869,Толбазы,Tolbazy,Эконом,econom,https://taxi.yandex.ru/tolbazi/tariff
870,Тольятти,Tolyatti,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/togliatti/tariff
871,Томск,Tomsk,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/tomsk/tariff
872,Томская область,Tomskaya oblast,Эконом,econom,https://taxi.yandex.ru/tomsk_region/tariff
873,Топки,Topki,Эконом,econom,https://taxi.yandex.ru/topki/tariff
874,Торжок,Torzhok,Эконом,econom,https://taxi.yandex.ru/torzgok/tariff
875,Тосно,Tosno,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/tosno/tariff
876,Тоцкое,Tockoe,Эконом,econom,https://taxi.yandex.ru/tockoe/tariff
877,Трёхгорный,Tryokhgorny,Эконом,econom,https://taxi.yandex.ru/tryohgornyj/tariff
878,Троицк Челябинская область,Troick Czelyabinskaya oblast,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/troick_chlb/tariff
879,Троицк.,Troick.,"Эконом, Комфорт, Комфорт+, Business, Детский, Минивэн, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, child_tariff, minivan, express, courier, cargo",https://taxi.yandex.ru/troick/tariff
880,Трубчевск,Trubchevsk,Эконом,econom,https://taxi.yandex.ru/trubchevsk/tariff
881,Туапсе,Tuapse,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/tuapse/tariff
882,Туймазы,Tuymazy,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/tuymazy/tariff
883,Тула,Tula,"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/tula/tariff
884,Тулун,Tulun,Эконом,econom,https://taxi.yandex.ru/tulun/tariff
885,Тульская область,Tulskaya oblast,Эконом,econom,https://taxi.yandex.ru/tula_region/tariff
886,Тутаев,Tutayev,Эконом,econom,https://taxi.yandex.ru/tutaev/tariff
887,Тучково,Tuczkovo,"Эконом, Детский, Грузовой, Доставка, Курьер","econom, child_tariff, cargo, express, courier",https://taxi.yandex.ru/tuchkovo/tariff
888,Тында ,Tynda ,Эконом,econom,https://taxi.yandex.ru/tynda/tariff
889,Тырныауз,Tyrnyauz,Эконом,econom,https://taxi.yandex.ru/tyrnauz/tariff
890,Тюменская область,Tyumenskaya oblast,Эконом,econom,https://taxi.yandex.ru/tumen_region/tariff
891,Тюмень,Tyumen,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, child_tariff, express, cargo, courier",https://taxi.yandex.ru/tumen/tariff
892,Уварово,Uvarovo,Эконом,econom,https://taxi.yandex.ru/uvarovo/tariff
893,Углич,Uglich,Эконом,econom,https://taxi.yandex.ru/uglich/tariff
894,Удачный,Udachny,Эконом,econom,https://taxi.yandex.ru/udachny/tariff
895,Удельная,Udelnaya,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, express, cargo, courier",https://taxi.yandex.ru/udelnaya/tariff
896,Удмуртская республика,Udmurtskaya respublika,Эконом,econom,https://taxi.yandex.ru/udmurtiya_region/tariff
897,Удомля,Udomlya,Эконом,econom,https://taxi.yandex.ru/udomlya/tariff
898,Ужур,Uzhur,Эконом,econom,https://taxi.yandex.ru/uzhur/tariff
899,Улан-Удэ,Ulan-Ude,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/ulanude/tariff
900,Ульяновка,Ulyanovka,Эконом,econom,https://taxi.yandex.ru/ulyanovka_lo/tariff
901,Ульяновск,Ulyanovsk,"Эконом, Комфорт, Детский, Доставка, Грузовой, Курьер","econom, business, child_tariff, express, cargo, courier",https://taxi.yandex.ru/ulianovsk/tariff
902,Ульяновская область,Ulyanovskaya oblast,Эконом,econom,https://taxi.yandex.ru/ulianovsk_region/tariff
903,Унцукуль,Uncukul,Эконом,econom,https://taxi.yandex.ru/uncukul/tariff
904,Урай,Uray,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/uray/tariff
905,Урус-Мартан,Urus-Martan,"Эконом, Курьер","econom, courier",https://taxi.yandex.ru/urus-martan/tariff
906,Урюпинск,Uryupinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/uryupinsk/tariff
907,Усинск,Usinsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/usinsk/tariff
908,Усмань,Usman,Эконом,econom,https://taxi.yandex.ru/usman/tariff
